               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.017126,            0.008062,                   0,             0.95237,             0.95216,             0.96597,              0.7405,             0.01141,             0.00265,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.017543,           0.0079443,                   0,             0.95209,             0.95238,              0.9652,             0.72908,            0.013225,           0.0028613,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.018848,           0.0078944,                   0,             0.95233,              0.9514,             0.97828,             0.73132,            0.013878,           0.0027967,                   0,            0.002212,            0.002212,            0.002212
                 120,             0.01697,           0.0080326,                   0,             0.95139,             0.95238,             0.96851,             0.72917,            0.013217,           0.0028207,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.015992,           0.0074712,                   0,             0.95131,             0.95238,             0.96822,             0.74999,            0.012753,           0.0027139,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.017137,           0.0077294,                   0,             0.95132,             0.95238,             0.96618,             0.75042,            0.011835,           0.0027898,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.018532,           0.0080928,                   0,             0.95121,             0.95238,             0.96358,             0.74951,            0.012231,           0.0027505,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.016935,           0.0081174,                   0,             0.95056,             0.95238,             0.95796,              0.7316,            0.012386,           0.0027016,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.019714,           0.0082024,                   0,             0.94988,             0.95238,             0.95502,             0.72795,            0.012242,           0.0027888,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.015772,           0.0076319,                   0,             0.94846,             0.95238,              0.9573,             0.75698,            0.011577,           0.0027175,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.016895,           0.0078318,                   0,             0.94916,             0.95238,             0.95953,             0.75916,            0.011309,           0.0026981,                   0,            0.001684,            0.001684,            0.001684
                 128,             0.01739,           0.0080658,                   0,             0.95018,             0.95238,             0.96413,             0.75294,            0.010758,           0.0026064,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.017871,           0.0083046,                   0,             0.95043,             0.95238,             0.96828,             0.76496,            0.010843,           0.0025617,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.017696,           0.0074147,                   0,             0.95074,             0.95238,             0.96821,             0.75179,            0.011611,           0.0026723,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.015263,           0.0077531,                   0,             0.95031,             0.95238,              0.9658,             0.74565,            0.012184,           0.0027994,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.015444,           0.0078126,                   0,             0.95034,             0.95238,             0.97116,              0.7435,            0.012311,             0.00273,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.013653,           0.0079992,                   0,             0.94705,             0.95238,             0.96632,             0.73532,             0.01208,           0.0028217,                   0,            0.001288,            0.001288,            0.001288
